brand_id,base_brand,modifier,strength,unit,form,manufacturer,salt_ids,phonetic_key,aliases,verified_by
B078,Levolin,,1,mg,tablet,Cipla,S030,LLN,levolin 1|levolin,
B079,Foracort,,200,mcg,inhaler,Cipla,S031|S032,FRKRT,foracort 200|foracort,
B080,Budecort,,200,mcg,inhaler,Cipla,S032,PTKRT,budecort 200|budecort,
B081,Seroflo,,250,mcg,inhaler,Cipla,S033|S031,SRFL,seroflo 250|seroflo,
B082,Duolin,,50,mcg,inhaler,Cipla,S035|S030,TLN,duolin inhaler|duolin,
B083,Nasonex,,50,mcg,nasal spray,MSD,S034,NSNKS,nasonex,
B084,Flixonase,,50,mcg,nasal spray,GSK,S033,FLKSNS,flixonase,
B085,Pan,,40,mg,tablet,Alkem,S036,PN,pan 40|pan forty,
B086,Pan,D,40,mg,capsule,Alkem,S036|S042,PN,pan d|pan dee,
B087,Pantop,,40,mg,tablet,Aristo,S036,PNTP,pantop 40|pantop,
B088,Pantocid,,40,mg,tablet,Sun Pharma,S036,PNTST,pantocid 40|pantocid,
B089,Pantocid,DSR,40,mg,capsule,Sun Pharma,S036|S042,PNTST,pantocid dsr,
B090,Omez,,20,mg,capsule,Dr Reddys,S037,AMS,omez 20|omez,
B091,Omez,D,20,mg,capsule,Dr Reddys,S037|S042,AMS,omez d,
B092,Nexpro,,40,mg,tablet,Torrent,S038,NKSPR,nexpro 40|nexpro,
B093,Nexpro,RD,40,mg,capsule,Torrent,S038|S042,NKSPR,nexpro rd,
B094,Razo,,20,mg,tablet,Dr Reddys,S039,RS,razo 20|razo,
B095,Razo,D,20,mg,capsule,Dr Reddys,S039|S042,RS,razo d,
B096,Rantac,,150,mg,tablet,JB Chemicals,S040,RNTK,rantac 150|rantac,
B097,Aciloc,,150,mg,tablet,Cadila,S040,ASLK,aciloc 150|aciloc,
B098,Famocid,,20,mg,tablet,Sun Pharma,S041,FMST,famocid 20|famocid,
B099,Domstal,,10,mg,tablet,Torrent,S042,TMSTL,domstal 10|domstal,
B100,Vomistop,,10,mg,tablet,Cipla,S042,AMSTP,vomistop,
B101,Ganaton,,50,mg,tablet,Abbott,S043,KNTN,ganaton 50|ganaton,
B102,Cyclopam,,20,mg,tablet,Indoco,S044|S001,KKLPM,cyclopam,
B103,Drotin,,40,mg,tablet,Walter Bushnell,S045,TRTN,drotin 40|drotin,
B104,Drotin,M,40,mg,tablet,Walter Bushnell,S045|S113,TRTN,drotin m,
B105,Digene,,400,mg,tablet,Abbott,S046,TJN,digene,
B106,Gelusil,MPS,400,mg,tablet,Pfizer,S046,KLSL,gelusil mps|gelusil,
B107,Mucaine,Gel,10,ml,syrup,Abbott,S046,MKN,mucaine gel|mucaine,
B108,Sucrafil,O,1,g,syrup,Sun Pharma,S119,SKRFL,sucrafil o|sucrafil,
B109,Electral,,1,sachet,powder,FDC,S047,ALKTRL,electral|oras,
B110,ORS,,1,sachet,powder,Generic,S047,ARS,ors sachet|o r s,
B111,Zinconia,,20,mg,tablet,Alkem,S048,JNKN,zinconia,
B112,Econorm,,250,mg,sachet,Dr Reddys,S049,AKNRM,econorm,
B113,Enterogermina,,5,ml,suspension,Sanofi,S049,ANTRKRMN,enterogermina,
B114,Redotil,,100,mg,capsule,Dr Reddys,S050,RTTL,redotil 100|redotil,
B115,Eldoper,,2,mg,capsule,Torrent,S051,ALTPR,eldoper,
B116,Lomotil,,2.5,mg,tablet,Pfizer,S051,LMTL,lomotil,
B117,Duphalac,,10,g,syrup,Abbott,S052,TFLK,duphalac,
B118,Looz,,10,g,syrup,Intas,S052,LS,looz syrup|looz,
B119,Peglec,,137,g,powder,Tablets India,S053,PKLK,peglec,
B120,Dulcolax,,5,mg,tablet,Boehringer,S054,TLKLKS,dulcolax,
B121,Bisacodyl,,5,mg,tablet,Generic,S054,PSKTL,bisacodyl 5,
B122,Isabgol,,5,g,powder,Sidpra,S055,ASPKL,isabgol|sat isabgol,
B123,Softovac,,5,g,powder,Torrent,S055,SFTK,softovac,
B124,Cremaffin,Plus,15,ml,syrup,Abbott,S052|S054,KRMFN,cremaffin plus|cremaffin,
B125,Zentel,,400,mg,tablet,GSK,S057,JNTL,zentel 400|zentel,
B126,Bandy,,400,mg,tablet,Mankind,S057,PNT,bandy 400|bandy,
B127,Zybend,,400,mg,tablet,Torrent,S057,JPNT,zybend,
B128,Mebex,,100,mg,tablet,Cipla,S058,MPKS,mebex 100|mebex,
B129,Ivermectol,,12,mg,tablet,Sun Pharma,S059,ARMKTL,ivermectol 12|ivermectol,
B130,Amlong,,5,mg,tablet,Micro Labs,S060,AMLNK,amlong 5|amlong,
B131,Amlopres,,5,mg,tablet,Cipla,S060,AMLPRS,amlopres 5|amlopres,
B132,Stamlo,,5,mg,tablet,Dr Reddys,S060,STML,stamlo 5|stamlo,
B133,Amlokind,,5,mg,tablet,Mankind,S060,AMLKNT,amlokind 5|amlokind,
B134,Nicardia,Retard,20,mg,tablet,JB Chemicals,S061,NKRT,nicardia retard|nicardia,
B135,Cilacar,,10,mg,tablet,JB Chemicals,S062,SLKR,cilacar 10|cilacar,
B136,Telma,,40,mg,tablet,Glenmark,S063,TLM,telma 40|telma forty,
B137,Telma,H,40,mg,tablet,Glenmark,S063|S071,TLM,telma h|telma aitch,
B138,Telmikind,,40,mg,tablet,Mankind,S063,TLMKNT,telmikind 40|telmikind,
B139,Telsartan,,40,mg,tablet,Dr Reddys,S063,TLSRTN,telsartan 40|telsartan,
B140,Losar,,50,mg,tablet,Unichem,S064,LSR,losar 50|losar,
B141,Losar,H,50,mg,tablet,Unichem,S064|S071,LSR,losar h,
B142,Repace,,50,mg,tablet,Sun Pharma,S064,RPS,repace 50|repace,
B143,Olmesar,,20,mg,tablet,Macleods,S065,ALMSR,olmesar 20|olmesar,
B144,Olmy,,20,mg,tablet,Torrent,S065,ALM,olmy 20|olmy,
B145,Cardace,,5,mg,tablet,Sanofi,S066,KRTS,cardace 5|cardace,
B146,Ramistar,,5,mg,tablet,Torrent,S066,RMSTR,ramistar 5|ramistar,
B147,Envas,,5,mg,tablet,Cadila,S067,ANS,envas 5|envas,
B148,Metolar,,50,mg,tablet,Cipla,S068,MTLR,metolar 50|metolar,
B149,Metolar,XR,50,mg,tablet,Cipla,S068,MTLR,metolar xr,
B150,Starpress,XL,50,mg,tablet,Sun Pharma,S068,STRPRS,starpress xl|starpress,
B151,Aten,,50,mg,tablet,Zydus,S069,ATN,aten 50|aten,
B152,Ciplar,LA,40,mg,tablet,Cipla,S070,SPLR,ciplar la|ciplar,
B153,Aquazide,,12.5,mg,tablet,Sun Pharma,S071,AKST,aquazide 12.5|aquazide,
B154,Ctd,,12.5,mg,tablet,Micro Labs,S072,KT,ctd 12.5|see tee dee,
B155,Amifru,,5,mg,tablet,Sun Pharma,S073,AMFR,amifru 5|amifru,
B156,Biduret,L,2.5,mg,tablet,Sun Pharma,S073,PTRT,biduret l|biduret,
B157,Glycomet,,500,mg,tablet,USV,S074,KLKMT,glycomet 500|glycomet,
B158,Glycomet,GP1,500,mg,tablet,USV,S074|S075,KLKMT,glycomet gp1|glycomet gp one,
B159,Glyciphage,,500,mg,tablet,Franco Indian,S074,KLSFJ,glyciphage 500|glyciphage,
B160,Okamet,,500,mg,tablet,Cipla,S074,AKMT,okamet 500|okamet,
B161,Amaryl,,2,mg,tablet,Sanofi,S075,AMRL,amaryl 2|amaryl,
B162,Amaryl,M,2,mg,tablet,Sanofi,S075|S074,AMRL,amaryl m,
B163,Glimisave,,2,mg,tablet,Eris,S075,KLMS,glimisave 2|glimisave,
B164,Diamicron,XR,60,mg,tablet,Serdia,S076,TMKRN,diamicron xr|diamicron,
B165,Januvia,,100,mg,tablet,MSD,S077,JN,januvia 100|januvia,
B166,Istavel,,100,mg,tablet,Sun Pharma,S077,ASTL,istavel 100|istavel,
B167,Galvus,,50,mg,tablet,Novartis,S078,KLS,galvus 50|galvus,
B168,Galvus,Met,50,mg,tablet,Novartis,S078|S074,KLS,galvus met,
B169,Zita,,20,mg,tablet,Glenmark,S079,JT,zita 20|zita,
B170,Zita,Met,20,mg,tablet,Glenmark,S079|S074,JT,zita met,
B171,Forxiga,,10,mg,tablet,AstraZeneca,S080,FRKSK,forxiga 10|forxiga,
B172,Jardiance,,10,mg,tablet,Boehringer,S081,JRTNS,jardiance 10|jardiance,
B173,Pioz,,15,mg,tablet,USV,S082,PS,pioz 15|pioz,
B174,Thyronorm,,50,mcg,tablet,Abbott,S083,0RNRM,thyronorm 50|thyronorm,
B175,Eltroxin,,50,mcg,tablet,GSK,S083,ALTRKSN,eltroxin 50|eltroxin,
B176,Thyrox,,50,mcg,tablet,Macleods,S083,0RKS,thyrox 50|thyrox,
B177,Storvas,,10,mg,tablet,Sun Pharma,S084,STRS,storvas 10|storvas,
B178,Atorva,,10,mg,tablet,Zydus,S084,ATR,atorva 10|atorva,
B179,Lipicure,,10,mg,tablet,Torrent,S084,LPKR,lipicure 10|lipicure,
B180,Rosuvas,,10,mg,tablet,Sun Pharma,S085,RSS,rosuvas 10|rosuvas,
B181,Rozavel,,10,mg,tablet,Sun Pharma,S085,RSL,rozavel 10|rozavel,
B182,Simvotin,,10,mg,tablet,Ranbaxy,S086,SMTN,simvotin,
B183,Lipicard,,160,mg,tablet,USV,S087,LPKRT,lipicard 160|lipicard,
B184,Ezetib,,10,mg,tablet,Intas,S088,ASTP,ezetib 10|ezetib,
B185,Maxepa,,500,mg,capsule,Merck,S089,MKSP,maxepa,
B186,Livogen,,150,mg,tablet,Merck,S090|S094,LJN,livogen,
B187,Fefol,,150,mg,capsule,Abbott,S090|S094,FFL,fefol,
B188,Orofer,XT,100,mg,tablet,Emcure,S091|S094,ARFR,orofer xt|orofer,
B189,Autrin,,100,mg,capsule,Pfizer,S092|S093,ATRN,autrin,
B190,Dexorange,,15,ml,syrup,Franco Indian,S090|S093,TKSRNJ,dexorange,
B191,Neurobion,Forte,1500,mcg,tablet,Merck,S093,NRPN,neurobion forte|neurobion,
B192,Nurokind,Plus,1500,mcg,tablet,Mankind,S093,NRKNT,nurokind plus|nurokind,
B193,Folvite,,5,mg,tablet,Pfizer,S094,FLT,folvite 5|folvite,
B194,Shelcal,,500,mg,tablet,Torrent,S095,XLKL,shelcal 500|shelcal,
B195,Calcimax,,500,mg,tablet,Meyer,S095,KLSMKS,calcimax,
B196,Volini,,1.16,percent,gel,Sun Pharma,S096,ALN,volini gel|volini,
B197,Omnigel,,1,percent,gel,Cipla,S096,AMNJL,omnigel,
B198,Ultracet,,37.5,mg,tablet,Janssen,S097|S001,ALTRST,ultracet,
B199,Tramazac,,50,mg,capsule,Zydus,S097,TRMSK,tramazac 50|tramazac,
B200,Trazonil,,25,mg,tablet,Intas,S109,TRSNL,trazonil 25|trazonil,
B201,Candid,,1,percent,cream,Glenmark,S098,KNTT,candid cream|candid,
B202,Clocip,,1,percent,cream,Ipca,S098,KLSP,clocip,
B203,Ketostar,,2,percent,cream,Ranbaxy,S099,KTSTR,ketostar,
B204,Terbicip,,250,mg,tablet,Cipla,S100,TRPSP,terbicip 250|terbicip,
B205,Zocon,,150,mg,tablet,FDC,S101,JKN,zocon 150|zocon,
B206,Forcan,,150,mg,tablet,Cipla,S101,FRKN,forcan 150|forcan,
B207,Itaspor,,100,mg,capsule,Intas,S102,ATSPR,itaspor 100|itaspor,
B208,Atarax,,25,mg,tablet,Dr Reddys,S118,ATRKS,atarax 25|atarax,
B209,Suminat,,50,mg,tablet,Sun Pharma,S103,SMNT,suminat 50|suminat,
B210,Rizact,,10,mg,tablet,Cipla,S104,RSKT,rizact 10|rizact,
B211,Vasograin,,1,mg,tablet,Cadila,S001|S108,ASKRN,vasograin,
B212,Emeset,,4,mg,tablet,Cipla,S107,AMST,emeset 4|emeset,
B213,Ondem,,4,mg,tablet,Alkem,S107,ANTM,ondem 4|ondem,
B214,Stemetil,,5,mg,tablet,Abbott,S108,STMTL,stemetil 5|stemetil,
B215,Omnacortil,,10,mg,tablet,Macleods,S117,AMNKRTL,omnacortil 10|omnacortil,
B216,Defcort,,6,mg,tablet,Macleods,S116,TFKRT,defcort 6|defcort,
B217,Doxt,SL,100,mg,capsule,Ajanta,S114,TKST,doxt sl|doxt,
B218,Monocef,O,200,mg,tablet,Aristo,S115,MNSF,monocef o,
B219,Alkasol,,5,ml,syrup,Stadmed,S111,ALKSL,alkasol,
B220,Nurokind,LC,1500,mcg,tablet,Mankind,S093|S094,NRKNT,nurokind lc,
